#IDA	IDB	WI2004	WI2007	BPMAPS
B0513.1	C49A1.4	core		
B0513.1	F14F3.1	core		
B0513.1	T23B5.1		core	
B0513.2	Y32H12A.2		core	
B0523.3	ZK381.4	core		
B0547.1	C04F12.3	core		
B0547.1	C35A5.9			core
B0547.1	F35G12.9	core		
B0547.1	F42G8.3	core		
B0547.1	F43C1.2	core		
B0547.1	F55C5.8			core
B0547.1	T21C9.4	core		
B0547.1	T27F2.3	core		
B0547.1	Y48G8AL.6			core
B0547.1	Y63D3A.4	core		
B0547.1	Y67H2A.6			core
B0547.1	ZK370.2	core		
B0547.1	ZK418.4			core
B0554.4	M117.2		core	
B0563.4	C14B1.2		core	
B0564.1	C52B11.2		core	
C01B10.6	C14C11.6			core
C01B10.6	C18A11.7			core
C01B10.6	F08B6.4			core
C01B10.6	R05F9.10			core
C01B10.8	C04E12.6	core		
C01B10.8	W03D2.5	core		
C01B10.8	Y113G7B.23	core	core	core
C01B7.4	C04A11.4		core	
C01B7.4	F10C1.1		core	
C01B7.4	F38C2.5		core	
C01B7.4	H25P06.2		core	
C01B7.4	T25B6.4		core	
C01C10.2	C02F5.1		core	
C01C10.2	T07G12.6		core	
C01F6.1	K10C8.3	core		
C01F6.1	T22A3.3	core		
C01F6.1	ZK1055.7	core		
C01F6.5	T20G5.11		core	core
C01F6.8	T28D9.10		core	
C01F6.8	Y116A8C.42		core	
C01F6.8	Y49E10.15		core	
C01F6.8	Y71F9B.4		core	
C01F6.9	Y40B10A.2		core	
C01G10.11	K01A6.4		core	
C01G10.11	T07A5.6		core	
C01G10.11	T22D1.3		core	
C01G12.1	Y18D10A.5	core		
C01G5.6	M03B6.1		core	
C01G5.6	ZK20.3			core
C01G5.8	F54B11.3	core		
C01G5.8	K12C11.2	core	core	
C01G5.8	T11B7.1		core	
C01G6.1	C34E10.6			core
C01G8.5	C18B2.5	core		
C01G8.5	C38D4.6	core		
C01G8.6	Y59A8B.7		core	
C01H6.5	C06G1.5		core	
C01H6.5	DH11.4		core	
C01H6.7	ZK858.4	core		
C02A12.1	C54F6.14	core		
C02A12.1	D1037.3	core		
C02A12.1	Y105E8B.4	core		
C02A12.1	Y87G2A.14		core	
C02B10.5	C49A1.4	core		
C02B10.5	F14F3.1	core		
C02B10.5	Y73F8A.16		core	
C02B10.6	K11G9.6		core	
C02B4.2	C24G6.4		core	
C02B8.3	F11D5.1		core	
C02B8.4	Y7A9D.1		core	
C02C6.1	C49G7.1			core
C02C6.1	K02E10.2		core	
C02C6.1	Y65B4BR.4		core	
C02F12.4	C34D10.1	core		
C02F12.4	W06D4.6			core
C02F12.8	C32D5.8		core	
C02F12.8	C49A1.4	core	core	
C02F12.8	F14F3.1	core		
C02F12.8	T17H7.4	core		
C02F4.2	F54E7.7	core	core	
C02F5.1	H18N23.2		core	
C02F5.1	K04A8.1		core	
C02F5.1	Y69E1A.2		core	
C02F5.9	C06A8.1			core
C02F5.9	C08E3.9	core	core	noncore
C02F5.9	F59A2.4	core		
C02F5.9	R06C1.3	core	core	noncore
C02F5.9	Y79H2A.1			core
C03A3.2	F52H2.5		core	
C03A3.2	Y59A8B.7		core	
C03A7.13	T17H7.4	core		
C03A7.14	C03A7.4	core		
C03A7.14	C40A11.2	core		
C03A7.14	H04J21.3	core		
C03A7.14	R09B5.5	core		
C03A7.14	T01D1.6	core		
C03A7.14	T23F1.6	core		core
C03A7.14	T28A11.11	core		
C03A7.4	C03A7.4	core		
C03A7.4	C17G10.5	core		
C03A7.4	C23G10.3	core		
C03A7.4	F23A7.1		core	
C03A7.4	F29C12.1	core		
C03A7.4	F29G6.3	core		
C03A7.4	F30H5.3	core		
C03A7.4	F40F4.3	core		
C03A7.4	H04J21.3	core		
C03A7.4	M02G9.1	core		
C03A7.4	M195.2	core		
C03A7.4	R09B5.5	core		
C03A7.4	T01D1.6	core		
C03A7.4	T28A11.11	core		
C03A7.4	W03G1.5	core		
C03A7.4	Y22F5A.4	core		
C03A7.4	Y22F5A.5	core		
C03A7.4	Y39B6A.1	core		
C03A7.4	Y69H2.3	core		
C03A7.4	ZK1067.7	core		
C03A7.7	T28A11.11	core		
C03A7.8	T28A11.11	core		
C03C10.3	K08F11.3	core		
C03C10.4	C05D11.10	core		
C03C10.4	F27C1.6	core		
C03C10.4	F32B4.4		core	
C03C10.4	F55H2.7		core	
C03C10.4	K12F2.2		core	
C03C10.4	R07E5.1		core	
C03C10.4	T04H1.2	core	core	
C03C10.4	T27F6.4		core	
C03C10.4	Y105E8B.5	core		
C03C10.4	Y15E3A.1	core		
C03C10.4	Y54E10A.5		core	
C03D6.1	R102.5		core	
C03D6.1	ZK112.2		core	
C03D6.1	ZK849.2		core	
C03G6.3	F21D5.4		core	
C04A2.3	C49A1.4	core		
C04C11.1	T11B7.4	core		
C04C3.2	DY3.2	core		
C04C3.3	T03F6.1	core		
C04C3.3	Y39E4A.3	core		
C04C3.3	Y69A2AR.30	core		
C04C3.5	C44B9.2		core	
C04C3.5	T07D4.2	core		
C04C3.5	T16G1.11	core		
C04C3.5	Y75B8A.12	core		
C04E6.7	W10G11.17		core	
C04F1.3	F46C8.5		core	
C04F1.3	F58A3.1		core	
C04F1.3	K08H2.6	core		
C04F1.3	T01G9.6		core	
C04F12.3	C04F12.3	core		
C04F12.3	C36C9.1	core	core	
C04F12.3	F25B5.7	core		
C04F12.3	F37A4.9	core		
C04F12.3	F52C6.2	core		
C04F12.3	F54G8.4	core	core	
C04F12.3	K04G2.6	core		
C04F12.3	R02F2.5	core		
C04F12.3	Y41C4A.14			core
C04F12.3	ZK1055.7	core		
C04F12.3	ZK455.1	core		
C04F12.9	C38D4.6	core		
C04G6.10	C05D2.1			core
C04G6.4	K09B11.9		core	
C05C10.4	W03D2.4			core
C05C10.5	C27A2.6			core
C05C10.5	F17E9.5		core	
C05C10.5	F18A1.3		core	
C05C10.5	F54D10.7			core
C05C10.5	T02E1.3		core	
C05C10.5	ZC239.15		core	
C05C10.5	ZC8.4		core	
C05C10.5	ZK1055.7		core	
C05C10.5	ZK858.4		core	
C05C8.2	C06A5.9		core	
C05C8.6	C05C8.6	core		core
C05C8.6	F37B1.1	core		
C05C8.6	Y7A5A.2	core		
C05C8.7	C49G7.1			core
C05D10.1	C18H9.7		core	
C05D10.4	Y69H2.3		core	
C05D11.10	F49H12.3	core		
C05D11.10	R01H10.6	core		
C05D11.10	ZK1055.1	core		
C05D11.11	W03D2.4			core
C05D12.2	Y40B10A.2		core	
C05D12.4	C06A5.9		core	
C05D12.5	ZK849.2	core		
C05D2.1	C34E10.6			core
C05D2.1	C47E8.5			core
C05D2.1	C53B4.5			core
C05D2.1	F30H5.3			core
C05D2.1	F45D3.4			core
C05D2.1	R05D11.8			core
C05D2.1	T21B6.3			core
C05D2.1	T22H2.5			core
C05D2.1	T23F1.6			core
C05D2.1	ZK1067.7			core
C05D2.1	ZK1193.1			core
C05D2.10	T18H9.7	core		
C05D2.4	C05D2.4		core	
C05D2.4	F07H5.2	core		
C05D2.5	K09B11.9	core		
C05D9.1	C06E1.1		core	
C05D9.1	D2013.2	core		
C05D9.1	F17E9.5	core	core	
C05D9.1	F25D7.1	noncore	core	
C05D9.1	F45H10.4	noncore	core	
C05D9.1	W06A7.3	core		
C05D9.1	Y38A8.2			core
C05D9.1	Y38C1AA.7	core	core	
C05D9.1	Y59A8B.22	noncore	core	
C05D9.3	Y40B10A.2		core	
C05E11.6	W09C2.1		core	
C05G5.5	R05D8.8		core	
C05G6.1	K10C3.6	core	core	
C05G6.1	Y69H2.10		core	
C05G6.1	Y69H2.3		core	
C05G6.1	ZK1053.5		core	
C06A1.1	C41C4.8		core	
C06A1.1	F23C8.4	core	core	
C06A1.1	F28F8.6		core	
C06A1.1	F45E4.2		core	
C06A1.1	T19B10.6		core	
C06A1.1	Y41C4A.14	core		
C06A5.3	C07H6.5			core
C06A5.9	C06B8.8		core	
C06A5.9	C08E3.9		core	
C06A5.9	C17E7.4		core	
C06A5.9	C18A3.3		core	
C06A5.9	C18H9.1		core	
C06A5.9	C24D10.6		core	
C06A5.9	C36C9.1		core	
C06A5.9	C38D9.1		core	
C06A5.9	D1086.4		core	
C06A5.9	DH11.4		core	
C06A5.9	F08F8.1		core	
C06A5.9	F12E12.5		core	
C06A5.9	F27C1.6	bad_status	core	
C06A5.9	F30A10.2		core	
C06A5.9	F37C12.4	bad_status	core	
C06A5.9	F44G3.9		core	
C06A5.9	F54D10.7		core	
